title,url,game_share_chat,game_share_local,platform,players,genre,release_date,publisher
Goat Simulator 3,https://store.nintendo.co.kr/70010000115434,True,True,Nintendo Switch 2,✕ 1 ~ 2,"액션, 어드벤처, 시뮬레이션",2026/4/1,Coffee Stain
REANIMAL,https://store.nintendo.co.kr/70010000109879,True,True,Nintendo Switch 2,✕ 1 ~ 2,"어드벤처, 퍼즐, 기타",2026/2/13,THQ Nordic
마리오 테니스 피버,https://store.nintendo.co.kr/70010000105871,False,True,Nintendo Switch 2,✕ 1 ~ 4,스포츠,2026/2/12,Nintendo
TOKYO SCRAMBLE,https://store.nintendo.co.kr/70010000101003,True,True,Nintendo Switch 2,✕ 1 ~ 1,"액션, 어드벤처, 퍼즐",2026/2/12,Binary Haze Interactive
SUPER BOMBERMAN COLLECTION - Nintendo Switch 2 Edition,https://store.nintendo.co.kr/70010000113452,True,True,Nintendo Switch 2,✕ 1 ~ 5,"파티, 아케이드",2026/2/6,KONAMI
4PGP - Nintendo Switch 2 Edition,https://store.nintendo.co.kr/70010000110107,True,True,Nintendo Switch 2,✕ 1 ~ 4,"파티, 스포츠, 아케이드, 레이싱",2026/2/5,3goo
돌연변이특공대 닌자거북이: 스플린터의 운명(Teenage Mutant Ninja Turtles: Splintered Fate) Nintendo Switch 2 Edition,https://store.nintendo.co.kr/70010000112489,True,True,Nintendo Switch 2,✕ 1 ~ 4,"액션, 어드벤처, 파티, 격투",2025/12/18,Super Evil Mega
수박게임 플래닛,https://store.nintendo.co.kr/70010000104130,False,True,Nintendo Switch 2,✕ 1 ~ 1,"파티, 퍼즐",2025/12/18,Aladdin X
Cast n Chill - Nintendo Switch 2 Edition,https://store.nintendo.co.kr/70010000112307,True,True,Nintendo Switch 2,✕ 1 ~ 2,"RPG, 스포츠, 시뮬레이션",2025/12/18,Wombat Brawler
Storm Lancers – Nintendo Switch 2 Edition,https://store.nintendo.co.kr/70010000109993,True,True,Nintendo Switch 2,✕ 1 ~ 2,"액션, 어드벤처, 파티",2025/12/11,ProbablyMonsters
MARVEL Cosmic Invasion (마블 코스믹 인베이전),https://store.nintendo.co.kr/70010000109393,False,True,Nintendo Switch 2,✕ 1 ~ 4,"액션, 아케이드, 격투",2025/12/2,H2 INTERACTIVE
Brotato Nintendo Switch 2 Edition,https://store.nintendo.co.kr/70010000113038,False,True,Nintendo Switch 2,✕ 1 ~ 4,"액션, 파티, 아케이드, 슈팅",2025/11/20,Seaven Studio
커비의 에어 라이더,https://store.nintendo.co.kr/70010000103777,True,True,Nintendo Switch 2,✕ 1 ~ 4,"액션, 레이싱",2025/11/20,Nintendo
젤다무쌍 봉인 전기,https://store.nintendo.co.kr/70010000103948,True,True,Nintendo Switch 2,✕ 1 ~ 2,액션,2025/11/6,Nintendo
Plants vs. Zombies™: Replanted,https://store.nintendo.co.kr/70010000098465,True,True,Nintendo Switch 2,✕ 1 ~ 2,전략,2025/10/24,EA
EA SPORTS FC™ 26,https://store.nintendo.co.kr/70010000100270,True,True,Nintendo Switch 2,✕ 1 ~ 4,"스포츠, 시뮬레이션",2025/9/26,EA
동키콩 바난자 ＋ 동키콩 바난자 DK 아일랜드&에메랄드 러시 세트,https://store.nintendo.co.kr/70070000030804,True,True,Nintendo Switch 2,,"액션, 어드벤처",2025/9/12,Nintendo
Lynked: Banner of the Spark – Nintendo Switch 2 Edition,https://store.nintendo.co.kr/70010000105351,True,False,Nintendo Switch 2,✕ 1 ~ 1,"액션, RPG, 어드벤처",2025/9/12,Dreamhaven
NBA 2K26,https://store.nintendo.co.kr/70010000101229,False,True,Nintendo Switch 2,✕ 1 ~ 4,스포츠,2025/9/5,2K
칠링 캠프촌 (Chillin' by the Fire),https://store.nintendo.co.kr/70010000095295,True,True,Nintendo Switch 2,✕ 1 ~ 1,"시뮬레이션, 커뮤니케이션",2025/7/31,Oink Games
슈퍼 마리오 파티 잼버리 Nintendo Switch 2 Edition + 잼버리 TV,https://store.nintendo.co.kr/70010000096827,False,True,Nintendo Switch 2,✕ 1 ~ 4,파티,2025/7/24,Nintendo
WWE 2K25,https://store.nintendo.co.kr/70010000099121,True,True,Nintendo Switch 2,✕ 1 ~ 8,"스포츠, 시뮬레이션",2025/7/23,2K
동키콩 바난자,https://store.nintendo.co.kr/70010000096811,True,True,Nintendo Switch 2,✕ 1 ~ 2,"액션, 어드벤처",2025/7/17,Nintendo
Split Fiction - 친구 패스（Friend's Pass）,https://store.nintendo.co.kr/70010000097011,False,True,Nintendo Switch 2,✕ 2 ~ 2,"액션, 어드벤처, 퍼즐",2025/6/5,EA
뿌요뿌요™테트리스®2S,https://store.nintendo.co.kr/70010000095332,True,True,Nintendo Switch 2,✕ 1 ~ 4,"파티, 퍼즐",2025/6/5,SEGA
Split Fiction,https://store.nintendo.co.kr/70010000097436,False,True,Nintendo Switch 2,✕ 2 ~ 2,"액션, 어드벤처, 퍼즐",2025/6/5,EA
Fast Fusion,https://store.nintendo.co.kr/70010000097009,True,True,Nintendo Switch 2,✕ 1 ~ 4,레이싱,2025/6/5,Shin’en Multimedia
Survival Kids,https://store.nintendo.co.kr/70010000095997,False,True,Nintendo Switch 2,✕ 1 ~ 2,"액션, 파티, 퍼즐, 커뮤니케이션",2025/6/5,Konami Digital Entertainment GmbH
